DATE,TIME,実績(万kW)
2015 1 29,12 00,3621
2015 1 29,13 00,3746
2015 1 29,14 00,3790
2015 1 29,15 00,3826
2015 1 29,16 00,4043
2015 1 29,17 00,4316
2015 1 29,18 00,4334
2015 1 29,19 00,4225
2015 1 29,20 00,4118
2015 1 29,21 00,3965
2015 1 29,22 00,3826
2015 1 29,23 00,3593
2015 1 30,0 00,3289
2015 1 30,1 00,3095
2015 1 30,2 00,2985
2015 1 30,3 00,2927
2015 1 30,4 00,2947
2015 1 30,5 00,3152
2015 1 30,6 00,3661
2015 1 30,7 00,4051
2015 1 30,8 00,4368
2015 1 30,9 00,4592
2015 1 30,10 00,4636
2015 1 30,11 00,4639
2015 1 30,12 00,4416
2015 1 30,13 00,4499
2015 1 30,14 00,4464
2015 1 30,15 00,4449
2015 1 30,16 00,4537
2015 1 30,17 00,4624
2015 1 30,18 00,4540
2015 1 30,19 00,4367
2015 1 30,20 00,4212
2015 1 30,21 00,4022
2015 1 30,22 00,3866
2015 1 30,23 00,3641
2015 1 31,0 00,3343
2015 1 31,1 00,3177
2015 1 31,2 00,3057
2015 1 31,3 00,2975
2015 1 31,4 00,2940
2015 1 31,5 00,3024
2015 1 31,6 00,3249
2015 1 31,7 00,3460
2015 1 31,8 00,3730
2015 1 31,9 00,3779
2015 1 31,10 00,3642
2015 1 31,11 00,3563
2015 1 31,12 00,3417
2015 1 31,13 00,3342
2015 1 31,14 00,3275
2015 1 31,15 00,3311
2015 1 31,16 00,3487
2015 1 31,17 00,3874
2015 1 31,18 00,4004
2015 1 31,19 00,3970
2015 1 31,20 00,3908
2015 1 31,21 00,3779
2015 1 31,22 00,3607
2015 1 31,23 00,3446
2015 2 1,0 00,3209
2015 2 1,1 00,3043
2015 2 1,2 00,2918
2015 2 1,3 00,2833
2015 2 1,4 00,2761
2015 2 1,5 00,2807
2015 2 1,6 00,2998
2015 2 1,7 00,3217
2015 2 1,8 00,3388
2015 2 1,9 00,3425
2015 2 1,10 00,3322
2015 2 1,11 00,3203
2015 2 1,12 00,3143
2015 2 1,13 00,3095
2015 2 1,14 00,3055
2015 2 1,15 00,3061
2015 2 1,16 00,3272
2015 2 1,17 00,3768
2015 2 1,18 00,3961
2015 2 1,19 00,3975
2015 2 1,20 00,3933
2015 2 1,21 00,3807
2015 2 1,22 00,3575
2015 2 1,23 00,3359
2015 2 2,0 00,3107
2015 2 2,1 00,2953
2015 2 2,2 00,2872
2015 2 2,3 00,2816
2015 2 2,4 00,2846
2015 2 2,5 00,3073
2015 2 2,6 00,3595
2015 2 2,7 00,3909
2015 2 2,8 00,4056
2015 2 2,9 00,4084
2015 2 2,10 00,3972
2015 2 2,11 00,3881
2015 2 2,12 00,3634
2015 2 2,13 00,3717
2015 2 2,14 00,3688
2015 2 2,15 00,3706
2015 2 2,16 00,3913
2015 2 2,17 00,4271
2015 2 2,18 00,4365
2015 2 2,19 00,4280
2015 2 2,20 00,4182
2015 2 2,21 00,4040
2015 2 2,22 00,3880
2015 2 2,23 00,3642
2015 2 3,0 00,3339
2015 2 3,1 00,3159
2015 2 3,2 00,3048
2015 2 3,3 00,2984
2015 2 3,4 00,2999
2015 2 3,5 00,3230
2015 2 3,6 00,3729
2015 2 3,7 00,3995
2015 2 3,8 00,4111
2015 2 3,9 00,4100
2015 2 3,10 00,3934
2015 2 3,11 00,3808
2015 2 3,12 00,3565
2015 2 3,13 00,3665
2015 2 3,14 00,3631
2015 2 3,15 00,3636
2015 2 3,16 00,3825
2015 2 3,17 00,4153
2015 2 3,18 00,4222
2015 2 3,19 00,4153
2015 2 3,20 00,4080
2015 2 3,21 00,3957
2015 2 3,22 00,3796
2015 2 3,23 00,3568
2015 2 4,0 00,3271
2015 2 4,1 00,3103
2015 2 4,2 00,3005
2015 2 4,3 00,2955
2015 2 4,4 00,2983
2015 2 4,5 00,3188
2015 2 4,6 00,3679
2015 2 4,7 00,3934
2015 2 4,8 00,4077
2015 2 4,9 00,4079
2015 2 4,10 00,3909
2015 2 4,11 00,3804
2015 2 4,12 00,3571
2015 2 4,13 00,3685
2015 2 4,14 00,3697
2015 2 4,15 00,3716
2015 2 4,16 00,3860
2015 2 4,17 00,4162
2015 2 4,18 00,4233
2015 2 4,19 00,4149
2015 2 4,20 00,4060
2015 2 4,21 00,3906
2015 2 4,22 00,3747
2015 2 4,23 00,3511
2015 2 5,0 00,3207
2015 2 5,1 00,3044
2015 2 5,2 00,2955
2015 2 5,3 00,2907
2015 2 5,4 00,2904
2015 2 5,5 00,3102
2015 2 5,6 00,3552
2015 2 5,7 00,3893
2015 2 5,8 00,4218
2015 2 5,9 00,4447
2015 2 5,10 00,4482
2015 2 5,11 00,4503
2015 2 5,12 00,4293
2015 2 5,13 00,4424
2015 2 5,14 00,4403
2015 2 5,15 00,4405
2015 2 5,16 00,4549
2015 2 5,17 00,4667
2015 2 5,18 00,4625
2015 2 5,19 00,4475
2015 2 5,20 00,4321
2015 2 5,21 00,4134
2015 2 5,22 00,3946
2015 2 5,23 00,3689
2015 2 6,0 00,3390
2015 2 6,1 00,3216
2015 2 6,2 00,3103
2015 2 6,3 00,3058
2015 2 6,4 00,3089
2015 2 6,5 00,3308
2015 2 6,6 00,3801
2015 2 6,7 00,4026
2015 2 6,8 00,4145
2015 2 6,9 00,4140
2015 2 6,10 00,3981
2015 2 6,11 00,3854
2015 2 6,12 00,3503
2015 2 6,13 00,3610
2015 2 6,14 00,3619
2015 2 6,15 00,3621
2015 2 6,16 00,3766
2015 2 6,17 00,4071
2015 2 6,18 00,4154
2015 2 6,19 00,4073
2015 2 6,20 00,3984
2015 2 6,21 00,3850
2015 2 6,22 00,3744
2015 2 6,23 00,3568
2015 2 7,0 00,3313
2015 2 7,1 00,3146
2015 2 7,2 00,3032
2015 2 7,3 00,2958
2015 2 7,4 00,2927
2015 2 7,5 00,3012
2015 2 7,6 00,3251
2015 2 7,7 00,3482
2015 2 7,8 00,3721
2015 2 7,9 00,3767
2015 2 7,10 00,3627
2015 2 7,11 00,3521
2015 2 7,12 00,3404
2015 2 7,13 00,3405
2015 2 7,14 00,3380
2015 2 7,15 00,3390
2015 2 7,16 00,3530
2015 2 7,17 00,3832
2015 2 7,18 00,3899
2015 2 7,19 00,3837
2015 2 7,20 00,3757
2015 2 7,21 00,3616
2015 2 7,22 00,3439
2015 2 7,23 00,3247
2015 2 8,0 00,3004
2015 2 8,1 00,2872
2015 2 8,2 00,2785
2015 2 8,3 00,2718
2015 2 8,4 00,2693
2015 2 8,5 00,2720
2015 2 8,6 00,2862
2015 2 8,7 00,3034
2015 2 8,8 00,3297
2015 2 8,9 00,3488
2015 2 8,10 00,3483
2015 2 8,11 00,3503
2015 2 8,12 00,3574
2015 2 8,13 00,3581
